year,month,day,hour,reason
2016,11,28,0,TT
2016,11,28,1,TT
2016,11,28,2,TT
2016,11,28,3,TT
2016,11,28,4,TT
2016,11,28,5,TT
2016,11,28,6,TT
2016,11,28,7,TT
2016,11,28,8,TT
2016,11,28,9,TT
2016,11,28,10,TT
2016,11,28,11,TT
2016,11,28,12,TT
2016,11,28,13,TT
2016,11,28,14,TT
2016,11,28,15,TT
2016,11,28,16,TT
2016,11,28,17,TT
2016,11,28,18,TT
2016,11,28,19,TT
2016,11,28,20,TT
2016,11,28,21,TT
2016,11,28,22,TT
2016,11,28,23,TT
2016,11,29,0,TT
2016,11,29,1,TT
2016,11,29,2,TT
2016,11,29,3,TT
2016,11,29,4,TT
2016,11,29,5,TT
2016,11,29,6,TT
2016,11,29,7,TT
2016,11,29,8,TT
2016,11,29,9,TT
2016,11,29,10,TT
2016,11,29,11,TT
2016,11,29,12,TT
2016,11,29,13,TT
2016,11,29,14,TT
2016,11,29,15,TT
2016,11,29,16,TT
2016,11,29,17,TT
2016,11,29,18,TT
2016,11,29,19,TT
2016,11,29,20,TT
2016,11,29,21,TT
2016,11,29,22,TT
2016,11,29,23,TT
2016,11,30,0,TT
2016,11,30,1,TT
2016,11,30,2,TT
2016,11,30,3,TT
2016,11,30,4,TT
2016,11,30,5,TT
2016,11,30,6,TT
2016,11,30,7,TT
2016,11,30,8,TT
2016,11,30,9,TT
2016,11,30,10,TT
2016,11,30,11,TT
2016,11,30,12,TT
2016,11,30,13,TT
2016,11,30,14,TT
2016,11,30,15,TT
2016,11,30,16,TT
2016,11,30,17,TT
2016,11,30,18,TT
2016,11,30,19,TT
2016,11,30,20,TT
2016,11,30,21,TT
2016,11,30,22,TT
2016,11,30,23,TT
2016,11,1,0,TT
2016,11,1,1,TT
2016,11,1,2,TT
2016,11,1,3,TT
2016,11,1,4,TT
2016,11,1,5,TT
2016,11,1,6,TT
2016,11,1,7,TT
2016,11,1,8,TT
2016,11,1,9,TT
2016,11,1,10,TT
2016,11,1,11,TT
2016,11,1,12,TT
2016,11,1,13,TT
2016,11,1,14,TT
2016,11,1,15,TT
2016,11,1,16,TT
2016,11,1,17,TT
2016,11,1,18,TT
2016,11,1,19,TT
2016,11,1,20,TT
2016,11,1,21,TT
2016,11,1,22,TT
2016,11,1,23,TT
2016,11,2,0,TT
2016,11,2,1,TT
2016,11,2,2,TT
2016,11,2,3,TT
2016,11,2,4,TT
2016,11,2,5,TT
2016,11,2,6,TT
2016,11,2,7,TT
2016,11,2,8,TT
2016,11,2,9,TT
2016,11,2,10,TT
2016,11,2,11,TT
2016,11,2,12,TT
2016,11,2,13,TT
2016,11,2,14,TT
2016,11,2,15,TT
2016,11,2,16,TT
2016,11,2,17,TT
2016,11,2,18,TT
2016,11,2,19,TT
2016,11,2,20,TT
2016,11,2,21,TT
2016,11,2,22,TT
2016,11,2,23,TT
2016,11,3,0,TT
2016,11,3,1,TT
2016,11,3,2,TT
2016,11,3,3,TT
