year,month,day,weekday,hour
2016,11,27,Sunday,0
2016,11,27,Sunday,1
2016,11,27,Sunday,2
2016,11,27,Sunday,3
2016,11,27,Sunday,4
2016,11,27,Sunday,5
2016,11,27,Sunday,6
2016,11,27,Sunday,7
2016,11,27,Sunday,8
2016,11,27,Sunday,9
2016,11,27,Sunday,10
2016,11,27,Sunday,11
2016,11,27,Sunday,12
2016,11,27,Sunday,13
2016,11,27,Sunday,14
2016,11,27,Sunday,15
2016,11,27,Sunday,16
2016,11,27,Sunday,17
2016,11,27,Sunday,18
2016,11,27,Sunday,19
2016,11,27,Sunday,20
2016,11,27,Sunday,21
2016,11,27,Sunday,22
2016,11,27,Sunday,23
2016,11,28,Monday,0
2016,11,28,Monday,1
2016,11,28,Monday,2
2016,11,28,Monday,3
2016,11,28,Monday,4
2016,11,28,Monday,5
2016,11,28,Monday,6
2016,11,28,Monday,7
2016,11,28,Monday,8
2016,11,28,Monday,9
2016,11,28,Monday,10
2016,11,28,Monday,11
2016,11,28,Monday,12
2016,11,28,Monday,13
2016,11,28,Monday,14
2016,11,28,Monday,15
2016,11,28,Monday,16
2016,11,28,Monday,17
2016,11,28,Monday,18
2016,11,28,Monday,19
2016,11,28,Monday,20
2016,11,28,Monday,21
2016,11,28,Monday,22
2016,11,28,Monday,23
2016,11,29,Tuesday,0
2016,11,29,Tuesday,1
2016,11,29,Tuesday,2
2016,11,29,Tuesday,3
2016,11,29,Tuesday,4
2016,11,29,Tuesday,5
2016,11,29,Tuesday,6
2016,11,29,Tuesday,7
2016,11,29,Tuesday,8
2016,11,29,Tuesday,9
2016,11,29,Tuesday,10
2016,11,29,Tuesday,11
2016,11,29,Tuesday,12
2016,11,29,Tuesday,13
2016,11,29,Tuesday,14
2016,11,29,Tuesday,15
2016,11,29,Tuesday,16
2016,11,29,Tuesday,17
2016,11,29,Tuesday,18
2016,11,29,Tuesday,19
2016,11,29,Tuesday,20
2016,11,29,Tuesday,21
2016,11,29,Tuesday,22
2016,11,29,Tuesday,23
2016,11,30,Wednesday,0
2016,11,30,Wednesday,1
2016,11,30,Wednesday,2
2016,11,30,Wednesday,3
2016,11,30,Wednesday,4
2016,11,30,Wednesday,5
2016,11,30,Wednesday,6
2016,11,30,Wednesday,7
2016,11,30,Wednesday,8
2016,11,30,Wednesday,9
2016,11,30,Wednesday,10
2016,11,30,Wednesday,11
2016,11,30,Wednesday,12
2016,11,30,Wednesday,13
2016,11,30,Wednesday,14
2016,11,30,Wednesday,15
2016,11,30,Wednesday,16
2016,11,30,Wednesday,17
2016,11,30,Wednesday,18
2016,11,30,Wednesday,19
2016,11,30,Wednesday,20
2016,11,30,Wednesday,21
2016,11,30,Wednesday,22
2016,11,30,Wednesday,23
2016,12,1,Thursday,0
2016,12,1,Thursday,1
2016,12,1,Thursday,2
2016,12,1,Thursday,3
2016,12,1,Thursday,4
2016,12,1,Thursday,5
2016,12,1,Thursday,6
2016,12,1,Thursday,7
2016,12,1,Thursday,8
2016,12,1,Thursday,9
2016,12,1,Thursday,10
2016,12,1,Thursday,11
2016,12,1,Thursday,12
2016,12,1,Thursday,13
2016,12,1,Thursday,14
2016,12,1,Thursday,15
2016,12,1,Thursday,16
2016,12,1,Thursday,17
2016,12,1,Thursday,18
2016,12,1,Thursday,19
2016,12,1,Thursday,20
2016,12,1,Thursday,21
2016,12,1,Thursday,22
2016,12,1,Thursday,23
2016,12,2,Friday,0
2016,12,2,Friday,1
2016,12,2,Friday,2
2016,12,2,Friday,3
2016,12,2,Friday,4
2016,12,2,Friday,5
2016,12,2,Friday,6
2016,12,2,Friday,7
2016,12,2,Friday,8
2016,12,2,Friday,9
2016,12,2,Friday,10
2016,12,2,Friday,11
2016,12,2,Friday,12
2016,12,2,Friday,13
2016,12,2,Friday,14
2016,12,2,Friday,15
2016,12,2,Friday,16
2016,12,2,Friday,17
2016,12,2,Friday,18
2016,12,2,Friday,19
2016,12,2,Friday,20
2016,12,2,Friday,21
2016,12,2,Friday,22
2016,12,2,Friday,23
2016,12,3,Saturday,0
2016,12,3,Saturday,1
2016,12,3,Saturday,2
2016,12,3,Saturday,3
2016,12,3,Saturday,4
2016,12,3,Saturday,5
2016,12,3,Saturday,6
2016,12,3,Saturday,7
2016,12,3,Saturday,8
2016,12,3,Saturday,9
2016,12,3,Saturday,10
2016,12,3,Saturday,11
2016,12,3,Saturday,12
2016,12,3,Saturday,13
2016,12,3,Saturday,14
2016,12,3,Saturday,15
2016,12,3,Saturday,16
2016,12,3,Saturday,17
2016,12,3,Saturday,18
2016,12,3,Saturday,19
2016,12,3,Saturday,20
2016,12,3,Saturday,21
2016,12,3,Saturday,22
2016,12,3,Saturday,23
2016,12,4,Sunday,0
2016,12,4,Sunday,1
2016,12,4,Sunday,2
2016,12,4,Sunday,3
2016,12,4,Sunday,4
2016,12,4,Sunday,5
2016,12,4,Sunday,6
2016,12,4,Sunday,7
2016,12,4,Sunday,8
2016,12,4,Sunday,9
2016,12,4,Sunday,10
2016,12,4,Sunday,11
2016,12,4,Sunday,12
2016,12,4,Sunday,13
2016,12,4,Sunday,14
2016,12,4,Sunday,15
2016,12,4,Sunday,16
2016,12,4,Sunday,17
2016,12,4,Sunday,18
2016,12,4,Sunday,19
2016,12,4,Sunday,20
2016,12,4,Sunday,21
2016,12,4,Sunday,22
2016,12,4,Sunday,23
2016,12,5,Monday,0
2016,12,5,Monday,1
2016,12,5,Monday,2
2016,12,5,Monday,3
2016,12,5,Monday,4
2016,12,5,Monday,5
2016,12,5,Monday,6
2016,12,5,Monday,7
2016,12,5,Monday,8
2016,12,5,Monday,9
2016,12,5,Monday,10
2016,12,5,Monday,11
2016,12,5,Monday,12
2016,12,5,Monday,13
2016,12,5,Monday,14
2016,12,5,Monday,15
2016,12,5,Monday,16
2016,12,5,Monday,17
2016,12,5,Monday,18
2016,12,5,Monday,19
2016,12,5,Monday,20
2016,12,5,Monday,21
2016,12,5,Monday,22
2016,12,5,Monday,23
2016,12,6,Tuesday,0
2016,12,6,Tuesday,1
2016,12,6,Tuesday,2
2016,12,6,Tuesday,3
2016,12,6,Tuesday,4
2016,12,6,Tuesday,5
2016,12,6,Tuesday,6
2016,12,6,Tuesday,7
2016,12,6,Tuesday,8
2016,12,6,Tuesday,9
2016,12,6,Tuesday,10
2016,12,6,Tuesday,11
2016,12,6,Tuesday,12
2016,12,6,Tuesday,13
2016,12,6,Tuesday,14
2016,12,6,Tuesday,15
2016,12,6,Tuesday,16
2016,12,6,Tuesday,17
2016,12,6,Tuesday,18
2016,12,6,Tuesday,19
2016,12,6,Tuesday,20
2016,12,6,Tuesday,21
2016,12,6,Tuesday,22
2016,12,6,Tuesday,23
2016,12,7,Wednesday,0
2016,12,7,Wednesday,1
2016,12,7,Wednesday,2
2016,12,7,Wednesday,3
2016,12,7,Wednesday,4
2016,12,7,Wednesday,5
2016,12,7,Wednesday,6
2016,12,7,Wednesday,7
2016,12,7,Wednesday,8
2016,12,7,Wednesday,9
2016,12,7,Wednesday,10
2016,12,7,Wednesday,11
2016,12,7,Wednesday,12
2016,12,7,Wednesday,13
2016,12,7,Wednesday,14
2016,12,7,Wednesday,15
2016,12,7,Wednesday,16
2016,12,7,Wednesday,17
2016,12,7,Wednesday,18
2016,12,7,Wednesday,19
2016,12,7,Wednesday,20
2016,12,7,Wednesday,21
2016,12,7,Wednesday,22
2016,12,7,Wednesday,23
2016,12,8,Thursday,0
2016,12,8,Thursday,1
2016,12,8,Thursday,2
2016,12,8,Thursday,3
2016,12,8,Thursday,4
2016,12,8,Thursday,5
2016,12,8,Thursday,6
2016,12,8,Thursday,7
2016,12,8,Thursday,8
2016,12,8,Thursday,9
2016,12,8,Thursday,10
2016,12,8,Thursday,11
2016,12,8,Thursday,12
2016,12,8,Thursday,13
2016,12,8,Thursday,14
2016,12,8,Thursday,15
2016,12,8,Thursday,16
2016,12,8,Thursday,17
2016,12,8,Thursday,18
2016,12,8,Thursday,19
2016,12,8,Thursday,20
2016,12,8,Thursday,21
2016,12,8,Thursday,22
2016,12,8,Thursday,23
2016,12,9,Friday,0
2016,12,9,Friday,1
2016,12,9,Friday,2
2016,12,9,Friday,3
2016,12,9,Friday,4
2016,12,9,Friday,5
2016,12,9,Friday,6
2016,12,9,Friday,7
2016,12,9,Friday,8
2016,12,9,Friday,9
2016,12,9,Friday,10
2016,12,9,Friday,11
2016,12,9,Friday,12
2016,12,9,Friday,13
2016,12,9,Friday,14
2016,12,9,Friday,15
2016,12,9,Friday,16
2016,12,9,Friday,17
2016,12,9,Friday,18
2016,12,9,Friday,19
2016,12,9,Friday,20
2016,12,9,Friday,21
2016,12,9,Friday,22
2016,12,9,Friday,23
2016,12,10,Saturday,0
2016,12,10,Saturday,1
2016,12,10,Saturday,2
2016,12,10,Saturday,3
2016,12,10,Saturday,4
2016,12,10,Saturday,5
2016,12,10,Saturday,6
2016,12,10,Saturday,7
2016,12,10,Saturday,8
2016,12,10,Saturday,9
2016,12,10,Saturday,10
2016,12,10,Saturday,11
2016,12,10,Saturday,12
2016,12,10,Saturday,13
2016,12,10,Saturday,14
2016,12,10,Saturday,15
2016,12,10,Saturday,16
2016,12,10,Saturday,17
2016,12,10,Saturday,18
2016,12,10,Saturday,19
2016,12,10,Saturday,20
2016,12,10,Saturday,21
2016,12,10,Saturday,22
2016,12,10,Saturday,23
2016,12,11,Sunday,0
2016,12,11,Sunday,1
2016,12,11,Sunday,2
2016,12,11,Sunday,3
2016,12,11,Sunday,4
2016,12,11,Sunday,5
2016,12,11,Sunday,6
2016,12,11,Sunday,7
2016,12,11,Sunday,8
2016,12,11,Sunday,9
2016,12,11,Sunday,10
2016,12,11,Sunday,11
2016,12,11,Sunday,12
2016,12,11,Sunday,13
2016,12,11,Sunday,14
2016,12,11,Sunday,15
2016,12,11,Sunday,16
2016,12,11,Sunday,17
2016,12,11,Sunday,18
2016,12,11,Sunday,19
2016,12,11,Sunday,20
2016,12,11,Sunday,21
2016,12,11,Sunday,22
2016,12,11,Sunday,23
2016,12,12,Monday,0
2016,12,12,Monday,1
2016,12,12,Monday,2
2016,12,12,Monday,3
2016,12,12,Monday,4
2016,12,12,Monday,5
2016,12,12,Monday,6
2016,12,12,Monday,7
2016,12,12,Monday,8
2016,12,12,Monday,9
2016,12,12,Monday,10
2016,12,12,Monday,11
2016,12,12,Monday,12
2016,12,12,Monday,13
2016,12,12,Monday,14
2016,12,12,Monday,15
2016,12,12,Monday,16
2016,12,12,Monday,17
2016,12,12,Monday,18
2016,12,12,Monday,19
2016,12,12,Monday,20
2016,12,12,Monday,21
2016,12,12,Monday,22
2016,12,12,Monday,23
2016,12,13,Tuesday,0
2016,12,13,Tuesday,1
2016,12,13,Tuesday,2
2016,12,13,Tuesday,3
2016,12,13,Tuesday,4
2016,12,13,Tuesday,5
2016,12,13,Tuesday,6
2016,12,13,Tuesday,7
2016,12,13,Tuesday,8
2016,12,13,Tuesday,9
2016,12,13,Tuesday,10
2016,12,13,Tuesday,11
2016,12,13,Tuesday,12
2016,12,13,Tuesday,13
2016,12,13,Tuesday,14
2016,12,13,Tuesday,15
2016,12,13,Tuesday,16
2016,12,13,Tuesday,17
2016,12,13,Tuesday,18
2016,12,13,Tuesday,19
2016,12,13,Tuesday,20
2016,12,13,Tuesday,21
2016,12,13,Tuesday,22
2016,12,13,Tuesday,23
2016,12,14,Wednesday,0
2016,12,14,Wednesday,1
2016,12,14,Wednesday,2
2016,12,14,Wednesday,3
2016,12,14,Wednesday,4
2016,12,14,Wednesday,5
2016,12,14,Wednesday,6
2016,12,14,Wednesday,7
2016,12,14,Wednesday,8
2016,12,14,Wednesday,9
2016,12,14,Wednesday,10
2016,12,14,Wednesday,11
2016,12,14,Wednesday,12
2016,12,14,Wednesday,13
2016,12,14,Wednesday,14
2016,12,14,Wednesday,15
2016,12,14,Wednesday,16
2016,12,14,Wednesday,17
2016,12,14,Wednesday,18
2016,12,14,Wednesday,19
2016,12,14,Wednesday,20
2016,12,14,Wednesday,21
2016,12,14,Wednesday,22
2016,12,14,Wednesday,23
2016,12,15,Thursday,0
2016,12,15,Thursday,1
2016,12,15,Thursday,2
2016,12,15,Thursday,3
2016,12,15,Thursday,4
2016,12,15,Thursday,5
2016,12,15,Thursday,6
2016,12,15,Thursday,7
2016,12,15,Thursday,8
2016,12,15,Thursday,9
2016,12,15,Thursday,10
2016,12,15,Thursday,11
2016,12,15,Thursday,12
2016,12,15,Thursday,13
2016,12,15,Thursday,14
2016,12,15,Thursday,15
2016,12,15,Thursday,16
2016,12,15,Thursday,17
2016,12,15,Thursday,18
2016,12,15,Thursday,19
2016,12,15,Thursday,20
2016,12,15,Thursday,21
2016,12,15,Thursday,22
2016,12,15,Thursday,23
2016,12,16,Friday,0
2016,12,16,Friday,1
2016,12,16,Friday,2
2016,12,16,Friday,3
2016,12,16,Friday,4
2016,12,16,Friday,5
2016,12,16,Friday,6
2016,12,16,Friday,7
2016,12,16,Friday,8
2016,12,16,Friday,9
2016,12,16,Friday,10
2016,12,16,Friday,11
2016,12,16,Friday,12
2016,12,16,Friday,13
2016,12,16,Friday,14
2016,12,16,Friday,15
2016,12,16,Friday,16
2016,12,16,Friday,17
2016,12,16,Friday,18
2016,12,16,Friday,19
2016,12,16,Friday,20
