nb_calls,year,month,day,weekday,hour,reason
0,2016,11,28,Monday,0,AA
0,2016,11,28,Monday,1,AA
0,2016,11,28,Monday,2,AA
0,2016,11,28,Monday,3,AA
0,2016,11,28,Monday,4,AA
0,2016,11,28,Monday,5,AA
0,2016,11,28,Monday,6,AA
0,2016,11,28,Monday,7,AA
0,2016,11,28,Monday,8,AA
0,2016,11,28,Monday,9,AA
0,2016,11,28,Monday,10,AA
0,2016,11,28,Monday,11,AA
0,2016,11,28,Monday,12,AA
0,2016,11,28,Monday,13,AA
0,2016,11,28,Monday,14,AA
0,2016,11,28,Monday,15,AA
0,2016,11,28,Monday,16,AA
0,2016,11,28,Monday,17,AA
0,2016,11,28,Monday,18,AA
0,2016,11,28,Monday,19,AA
0,2016,11,28,Monday,20,AA
0,2016,11,28,Monday,21,AA
0,2016,11,28,Monday,22,AA
0,2016,11,28,Monday,23,AA
0,2016,11,29,Tuesday,0,AA
0,2016,11,29,Tuesday,1,AA
0,2016,11,29,Tuesday,2,AA
0,2016,11,29,Tuesday,3,AA
0,2016,11,29,Tuesday,4,AA
0,2016,11,29,Tuesday,5,AA
0,2016,11,29,Tuesday,6,AA
0,2016,11,29,Tuesday,7,AA
0,2016,11,29,Tuesday,8,AA
0,2016,11,29,Tuesday,9,AA
0,2016,11,29,Tuesday,10,AA
0,2016,11,29,Tuesday,11,AA
0,2016,11,29,Tuesday,12,AA
0,2016,11,29,Tuesday,13,AA
0,2016,11,29,Tuesday,14,AA
0,2016,11,29,Tuesday,15,AA
0,2016,11,29,Tuesday,16,AA
0,2016,11,29,Tuesday,17,AA
0,2016,11,29,Tuesday,18,AA
0,2016,11,29,Tuesday,19,AA
0,2016,11,29,Tuesday,20,AA
0,2016,11,29,Tuesday,21,AA
0,2016,11,29,Tuesday,22,AA
0,2016,11,29,Tuesday,23,AA
0,2016,11,30,Wednesday,0,AA
0,2016,11,30,Wednesday,1,AA
0,2016,11,30,Wednesday,2,AA
0,2016,11,30,Wednesday,3,AA
0,2016,11,30,Wednesday,4,AA
0,2016,11,30,Wednesday,5,AA
0,2016,11,30,Wednesday,6,AA
0,2016,11,30,Wednesday,7,AA
0,2016,11,30,Wednesday,8,AA
0,2016,11,30,Wednesday,9,AA
0,2016,11,30,Wednesday,10,AA
0,2016,11,30,Wednesday,11,AA
0,2016,11,30,Wednesday,12,AA
0,2016,11,30,Wednesday,13,AA
0,2016,11,30,Wednesday,14,AA
0,2016,11,30,Wednesday,15,AA
0,2016,11,30,Wednesday,16,AA
0,2016,11,30,Wednesday,17,AA
0,2016,11,30,Wednesday,18,AA
0,2016,11,30,Wednesday,19,AA
0,2016,11,30,Wednesday,20,AA
0,2016,11,30,Wednesday,21,AA
0,2016,11,30,Wednesday,22,AA
0,2016,11,30,Wednesday,23,AA
0,2016,12,1,Thursday,0,AA
0,2016,12,1,Thursday,1,AA
0,2016,12,1,Thursday,2,AA
0,2016,12,1,Thursday,3,AA
0,2016,12,1,Thursday,4,AA
0,2016,12,1,Thursday,5,AA
0,2016,12,1,Thursday,6,AA
0,2016,12,1,Thursday,7,AA
0,2016,12,1,Thursday,8,AA
0,2016,12,1,Thursday,9,AA
0,2016,12,1,Thursday,10,AA
0,2016,12,1,Thursday,11,AA
0,2016,12,1,Thursday,12,AA
0,2016,12,1,Thursday,13,AA
0,2016,12,1,Thursday,14,AA
0,2016,12,1,Thursday,15,AA
0,2016,12,1,Thursday,16,AA
0,2016,12,1,Thursday,17,AA
0,2016,12,1,Thursday,18,AA
0,2016,12,1,Thursday,19,AA
0,2016,12,1,Thursday,20,AA
