nb_calls,priority,reason,year,month,day,weekday,hour
12,0,990830,0,0,0,,0
12,0,990830,6,0,0,,0
68,2,PS,2010,1,1,Friday,0
3,0,PS,2010,1,1,Friday,1
1,0,PS,2010,1,1,Friday,2
2,0,NW,2010,1,1,Friday,3
1,0,PS,2010,1,1,Friday,5
5,2,PS,2010,1,1,Friday,6
40,0,PS,2010,1,1,Friday,7
96,0,PS,2010,1,1,Friday,8
103,2,PS,2010,1,1,Friday,9
86,0,PS,2010,1,1,Friday,10
87,0,PS,2010,1,1,Friday,11
70,1,PS,2010,1,1,Friday,13
29,0,PS,2010,1,1,Friday,14
3,0,NW,2010,1,1,Friday,15
4,0,NW,2010,1,1,Friday,16
1,0,NW,2010,1,1,Friday,17
1,0,NW,2010,1,1,Friday,19
5,0,NW,2010,1,2,Saturday,0
1,0,NW,2010,1,2,Saturday,5
2,0,NW,2010,1,2,Saturday,10
1,0,NW,2010,1,2,Saturday,11
2,0,NW,2010,1,2,Saturday,14
1,0,NW,2010,1,2,Saturday,17
10,0,PS,2010,1,2,Saturday,18
72,0,PS,2010,1,2,Saturday,19
41,1,PE,2010,1,2,Saturday,20
45,0,PS,2010,1,2,Saturday,21
30,0,PS,2010,1,2,Saturday,22
43,2,PS,2010,1,2,Saturday,23
143,0,PS,2010,1,3,Sunday,0
3,0,PS,2010,1,3,Sunday,1
1,0,PS,2010,1,3,Sunday,4
3,0,PS,2010,1,3,Sunday,5
6,0,PS,2010,1,3,Sunday,6
71,0,PE,2010,1,3,Sunday,7
140,0,PS,2010,1,3,Sunday,8
130,0,PS,2010,1,3,Sunday,9
171,0,PS,2010,1,3,Sunday,10
136,0,NE,2010,1,3,Sunday,11
139,0,PS,2010,1,3,Sunday,13
150,0,PS,2010,1,3,Sunday,14
165,0,NW,2010,1,3,Sunday,15
257,1,PS,2010,1,3,Sunday,16
187,0,NW,2010,1,3,Sunday,17
89,0,PS,2010,1,3,Sunday,18
78,0,PS,2010,1,3,Sunday,19
75,0,PS,2010,1,3,Sunday,20
65,0,PS,2010,1,3,Sunday,21
48,0,PS,2010,1,3,Sunday,22
54,0,PS,2010,1,3,Sunday,23
125,1,PS,2010,1,4,Monday,0
1,0,PS,2010,1,4,Monday,2
2,0,PS,2010,1,4,Monday,5
7,2,TT,2010,1,4,Monday,6
54,0,PS,2010,1,4,Monday,7
135,0,NW,2010,1,4,Monday,8
114,0,PS,2010,1,4,Monday,9
164,0,PS,2010,1,4,Monday,10
148,0,NW,2010,1,4,Monday,11
70,0,NW,2010,1,4,Monday,13
199,2,PS,2010,1,4,Monday,14
144,2,PS,2010,1,4,Monday,15
108,2,PS,2010,1,4,Monday,16
126,2,PS,2010,1,4,Monday,17
95,0,PS,2010,1,4,Monday,18
82,0,NW,2010,1,4,Monday,19
73,1,PS,2010,1,4,Monday,20
74,0,PS,2010,1,4,Monday,21
60,2,PS,2010,1,4,Monday,22
53,1,PS,2010,1,4,Monday,23
103,1,PS,2010,1,5,Tuesday,0
2,0,NW,2010,1,5,Tuesday,1
1,0,PS,2010,1,5,Tuesday,3
1,0,NW,2010,1,5,Tuesday,5
2,2,TT,2010,1,5,Tuesday,6
30,0,PS,2010,1,5,Tuesday,7
128,0,PS,2010,1,5,Tuesday,8
113,0,PS,2010,1,5,Tuesday,9
121,2,PS,2010,1,5,Tuesday,10
126,0,PS,2010,1,5,Tuesday,11
109,1,PS,2010,1,5,Tuesday,13
121,0,NW,2010,1,5,Tuesday,14
132,2,PS,2010,1,5,Tuesday,15
160,0,PS,2010,1,5,Tuesday,16
110,0,PS,2010,1,5,Tuesday,17
93,0,NE,2010,1,5,Tuesday,18
62,0,PS,2010,1,5,Tuesday,19
62,0,PS,2010,1,5,Tuesday,20
48,0,NW,2010,1,5,Tuesday,21
68,0,NW,2010,1,5,Tuesday,22
37,0,PS,2010,1,5,Tuesday,23
101,0,PS,2010,1,6,Wednesday,0
1,0,PS,2010,1,6,Wednesday,1
1,0,PS,2010,1,6,Wednesday,2
1,0,PS,2010,1,6,Wednesday,5
3,0,PS,2010,1,6,Wednesday,6
31,0,PS,2010,1,6,Wednesday,7
97,0,PS,2010,1,6,Wednesday,8
101,1,PS,2010,1,6,Wednesday,9
128,0,PS,2010,1,6,Wednesday,10
95,2,PS,2010,1,6,Wednesday,11
104,0,NW,2010,1,6,Wednesday,13
112,2,PS,2010,1,6,Wednesday,14
109,2,PS,2010,1,6,Wednesday,15
88,0,PS,2010,1,6,Wednesday,16
81,0,NW,2010,1,6,Wednesday,17
62,0,PS,2010,1,6,Wednesday,18
78,0,NW,2010,1,6,Wednesday,19
64,0,PS,2010,1,6,Wednesday,20
51,0,PS,2010,1,6,Wednesday,21
59,1,PS,2010,1,6,Wednesday,22
38,0,PS,2010,1,6,Wednesday,23
106,2,PS,2010,1,7,Thursday,0
1,0,NW,2010,1,7,Thursday,1
1,0,PS,2010,1,7,Thursday,4
3,0,PS,2010,1,7,Thursday,5
3,1,PS,2010,1,7,Thursday,6
29,0,PS,2010,1,7,Thursday,7
103,0,PS,2010,1,7,Thursday,8
123,1,PS,2010,1,7,Thursday,9
119,1,PS,2010,1,7,Thursday,10
108,2,PS,2010,1,7,Thursday,11
75,2,PS,2010,1,7,Thursday,13
153,1,PS,2010,1,7,Thursday,14
141,2,NE,2010,1,7,Thursday,15
211,0,PS,2010,1,7,Thursday,16
137,0,NW,2010,1,7,Thursday,17
128,0,NW,2010,1,7,Thursday,18
55,0,PS,2010,1,7,Thursday,19
39,0,PS,2010,1,7,Thursday,20
40,0,PS,2010,1,7,Thursday,21
36,0,PS,2010,1,7,Thursday,22
44,1,PS,2010,1,7,Thursday,23
63,1,PS,2010,1,8,Friday,0
1,0,PS,2010,1,8,Friday,2
1,0,PS,2010,1,8,Friday,5
1,0,PS,2010,1,8,Friday,6
23,0,PS,2010,1,8,Friday,7
77,0,NW,2010,1,8,Friday,8
56,1,PS,2010,1,8,Friday,9
72,2,PS,2010,1,8,Friday,10
67,2,PS,2010,1,8,Friday,11
46,2,PS,2010,1,8,Friday,13
23,0,PS,2010,1,8,Friday,14
2,0,NW,2010,1,8,Friday,15
1,0,NW,2010,1,8,Friday,16
3,0,NW,2010,1,8,Friday,19
2,0,NW,2010,1,8,Friday,20
1,0,NW,2010,1,8,Friday,21
1,0,NW,2010,1,9,Saturday,10
1,0,NW,2010,1,9,Saturday,15
1,0,NW,2010,1,9,Saturday,17
20,0,PS,2010,1,9,Saturday,18
58,0,PS,2010,1,9,Saturday,19
41,0,NW,2010,1,9,Saturday,20
36,2,PS,2010,1,9,Saturday,21
28,0,PS,2010,1,9,Saturday,22
15,0,PS,2010,1,9,Saturday,23
119,2,PS,2010,1,10,Sunday,0
3,0,NW,2010,1,10,Sunday,1
1,0,PS,2010,1,10,Sunday,2
1,0,PS,2010,1,10,Sunday,3
2,0,NW,2010,1,10,Sunday,6
36,0,NW,2010,1,10,Sunday,7
94,0,PS,2010,1,10,Sunday,8
113,2,PS,2010,1,10,Sunday,9
157,2,PS,2010,1,10,Sunday,10
133,1,PS,2010,1,10,Sunday,11
172,0,NE,2010,1,10,Sunday,13
156,0,NE,2010,1,10,Sunday,14
163,1,PS,2010,1,10,Sunday,15
310,2,PS,2010,1,10,Sunday,16
181,2,PS,2010,1,10,Sunday,17
116,0,NW,2010,1,10,Sunday,18
73,0,PS,2010,1,10,Sunday,19
62,0,PS,2010,1,10,Sunday,20
50,2,PS,2010,1,10,Sunday,21
22,0,NW,2010,1,10,Sunday,22
23,0,PS,2010,1,10,Sunday,23
126,2,PS,2010,1,13,Wednesday,0
8,0,PS,2010,1,13,Wednesday,3
10,0,PS,2010,1,13,Wednesday,4
15,0,PS,2010,1,13,Wednesday,5
23,0,NW,2010,1,13,Wednesday,6
57,1,PS,2010,1,13,Wednesday,7
170,0,PS,2010,1,13,Wednesday,8
130,1,PS,2010,1,13,Wednesday,9
68,0,PS,2010,1,13,Wednesday,11
121,0,NE,2010,1,13,Wednesday,13
175,1,PS,2010,1,13,Wednesday,14
165,1,PS,2010,1,13,Wednesday,15
127,1,PS,2010,1,13,Wednesday,16
99,1,PS,2010,1,13,Wednesday,17
118,2,PS,2010,1,13,Wednesday,18
105,0,PS,2010,1,13,Wednesday,19
66,0,PS,2010,1,13,Wednesday,20
59,2,PS,2010,1,13,Wednesday,21
66,1,PS,2010,1,13,Wednesday,22
49,2,PS,2010,1,13,Wednesday,23
114,1,PS,2010,1,14,Thursday,0
5,0,PS,2010,1,14,Thursday,5
2,0,PS,2010,1,14,Thursday,6
29,2,PS,2010,1,14,Thursday,7
122,0,PS,2010,1,14,Thursday,8
104,2,PS,2010,1,14,Thursday,9
150,2,PS,2010,1,14,Thursday,10
118,2,PS,2010,1,14,Thursday,11
96,2,PS,2010,1,14,Thursday,13
108,2,PS,2010,1,14,Thursday,14
125,1,PS,2010,1,14,Thursday,15
193,1,PS,2010,1,14,Thursday,16
152,0,NW,2010,1,14,Thursday,17
94,0,NW,2010,1,14,Thursday,18
79,1,PS,2010,1,14,Thursday,19
49,0,PS,2010,1,14,Thursday,20
18,0,NW,2010,1,14,Thursday,21
45,2,PS,2010,1,14,Thursday,22
54,0,PS,2010,1,14,Thursday,23
61,0,NW,2010,1,15,Friday,0
2,0,PS,2010,1,15,Friday,6
24,0,PS,2010,1,15,Friday,7
73,0,NW,2010,1,15,Friday,8
109,0,NW,2010,1,15,Friday,9
75,0,PS,2010,1,15,Friday,10
85,0,PS,2010,1,15,Friday,11
42,0,NW,2010,1,15,Friday,13
23,0,NE,2010,1,15,Friday,14
2,0,PS,2010,1,15,Friday,15
3,0,NW,2010,1,15,Friday,16
1,0,NW,2010,1,15,Friday,17
1,0,NW,2010,1,16,Saturday,0
