nb_calls,priority,reason,year,month,day,weekday,hour
16,0,NW,2010,1,1,Friday,0
45,0,PS,2010,1,1,Friday,0
1,1,PS,2010,1,1,Friday,0
1,1,TT,2010,1,1,Friday,0
5,2,PS,2010,1,1,Friday,0
2,0,NW,2010,1,1,Friday,1
1,0,PS,2010,1,1,Friday,1
1,0,PS,2010,1,1,Friday,2
1,0,NW,2010,1,1,Friday,3
1,0,PS,2010,1,1,Friday,3
1,0,PS,2010,1,1,Friday,5
1,0,AA,2010,1,1,Friday,6
2,0,PS,2010,1,1,Friday,6
2,2,PS,2010,1,1,Friday,6
1,0,NE,2010,1,1,Friday,7
2,0,NW,2010,1,1,Friday,7
1,0,PE,2010,1,1,Friday,7
30,0,PS,2010,1,1,Friday,7
1,0,TT,2010,1,1,Friday,7
2,1,PS,2010,1,1,Friday,7
1,1,TT,2010,1,1,Friday,7
2,2,PS,2010,1,1,Friday,7
1,0,IN,2010,1,1,Friday,8
20,0,NW,2010,1,1,Friday,8
41,0,PS,2010,1,1,Friday,8
1,0,TT,2010,1,1,Friday,8
10,1,PS,2010,1,1,Friday,8
23,2,PS,2010,1,1,Friday,8
3,0,IN,2010,1,1,Friday,9
1,0,NE,2010,1,1,Friday,9
11,0,NW,2010,1,1,Friday,9
48,0,PS,2010,1,1,Friday,9
1,0,TT,2010,1,1,Friday,9
16,1,PS,2010,1,1,Friday,9
22,2,PS,2010,1,1,Friday,9
1,2,TT,2010,1,1,Friday,9
4,0,IN,2010,1,1,Friday,10
10,0,NW,2010,1,1,Friday,10
1,0,PE,2010,1,1,Friday,10
49,0,PS,2010,1,1,Friday,10
1,0,TT,2010,1,1,Friday,10
5,1,PS,2010,1,1,Friday,10
2,1,TT,2010,1,1,Friday,10
12,2,PS,2010,1,1,Friday,10
2,2,TT,2010,1,1,Friday,10
2,0,IN,2010,1,1,Friday,11
5,0,NW,2010,1,1,Friday,11
1,0,PE,2010,1,1,Friday,11
55,0,PS,2010,1,1,Friday,11
11,1,PS,2010,1,1,Friday,11
1,1,TT,2010,1,1,Friday,11
1,2,PE,2010,1,1,Friday,11
11,2,PS,2010,1,1,Friday,11
1,0,NE,2010,1,1,Friday,13
9,0,NW,2010,1,1,Friday,13
24,0,PS,2010,1,1,Friday,13
2,0,TT,2010,1,1,Friday,13
13,1,PS,2010,1,1,Friday,13
19,2,PS,2010,1,1,Friday,13
2,2,TT,2010,1,1,Friday,13
3,0,NW,2010,1,1,Friday,14
1,0,PE,2010,1,1,Friday,14
25,0,PS,2010,1,1,Friday,14
3,0,NW,2010,1,1,Friday,15
4,0,NW,2010,1,1,Friday,16
1,0,NW,2010,1,1,Friday,17
1,0,NW,2010,1,1,Friday,19
5,0,NW,2010,1,2,Saturday,0
1,0,NW,2010,1,2,Saturday,5
1,0,IN,2010,1,2,Saturday,10
1,0,NW,2010,1,2,Saturday,10
1,0,NW,2010,1,2,Saturday,11
2,0,NW,2010,1,2,Saturday,14
1,0,NW,2010,1,2,Saturday,17
7,0,PS,2010,1,2,Saturday,18
