nb_calls,year,month,day,weekday,hour
68,2010,1,1,Friday,0
3,2010,1,1,Friday,1
1,2010,1,1,Friday,2
2,2010,1,1,Friday,3
1,2010,1,1,Friday,5
5,2010,1,1,Friday,6
40,2010,1,1,Friday,7
96,2010,1,1,Friday,8
103,2010,1,1,Friday,9
86,2010,1,1,Friday,10
87,2010,1,1,Friday,11
70,2010,1,1,Friday,13
29,2010,1,1,Friday,14
3,2010,1,1,Friday,15
4,2010,1,1,Friday,16
1,2010,1,1,Friday,17
1,2010,1,1,Friday,19
5,2010,1,2,Saturday,0
1,2010,1,2,Saturday,5
2,2010,1,2,Saturday,10
1,2010,1,2,Saturday,11
2,2010,1,2,Saturday,14
1,2010,1,2,Saturday,17
10,2010,1,2,Saturday,18
72,2010,1,2,Saturday,19
41,2010,1,2,Saturday,20
45,2010,1,2,Saturday,21
30,2010,1,2,Saturday,22
43,2010,1,2,Saturday,23
143,2010,1,3,Sunday,0
3,2010,1,3,Sunday,1
1,2010,1,3,Sunday,4
3,2010,1,3,Sunday,5
6,2010,1,3,Sunday,6
71,2010,1,3,Sunday,7
140,2010,1,3,Sunday,8
130,2010,1,3,Sunday,9
171,2010,1,3,Sunday,10
136,2010,1,3,Sunday,11
139,2010,1,3,Sunday,13
150,2010,1,3,Sunday,14
165,2010,1,3,Sunday,15
257,2010,1,3,Sunday,16
187,2010,1,3,Sunday,17
89,2010,1,3,Sunday,18
78,2010,1,3,Sunday,19
75,2010,1,3,Sunday,20
65,2010,1,3,Sunday,21
48,2010,1,3,Sunday,22
54,2010,1,3,Sunday,23
125,2010,1,4,Monday,0
1,2010,1,4,Monday,2
2,2010,1,4,Monday,5
7,2010,1,4,Monday,6
54,2010,1,4,Monday,7
135,2010,1,4,Monday,8
114,2010,1,4,Monday,9
164,2010,1,4,Monday,10
148,2010,1,4,Monday,11
70,2010,1,4,Monday,13
199,2010,1,4,Monday,14
144,2010,1,4,Monday,15
108,2010,1,4,Monday,16
126,2010,1,4,Monday,17
95,2010,1,4,Monday,18
82,2010,1,4,Monday,19
73,2010,1,4,Monday,20
74,2010,1,4,Monday,21
60,2010,1,4,Monday,22
53,2010,1,4,Monday,23
103,2010,1,5,Tuesday,0
2,2010,1,5,Tuesday,1
1,2010,1,5,Tuesday,3
1,2010,1,5,Tuesday,5
2,2010,1,5,Tuesday,6
30,2010,1,5,Tuesday,7
128,2010,1,5,Tuesday,8
113,2010,1,5,Tuesday,9
121,2010,1,5,Tuesday,10
126,2010,1,5,Tuesday,11
109,2010,1,5,Tuesday,13
121,2010,1,5,Tuesday,14
132,2010,1,5,Tuesday,15
160,2010,1,5,Tuesday,16
110,2010,1,5,Tuesday,17
93,2010,1,5,Tuesday,18
62,2010,1,5,Tuesday,19
62,2010,1,5,Tuesday,20
48,2010,1,5,Tuesday,21
68,2010,1,5,Tuesday,22
37,2010,1,5,Tuesday,23
101,2010,1,6,Wednesday,0
1,2010,1,6,Wednesday,1
1,2010,1,6,Wednesday,2
1,2010,1,6,Wednesday,5
3,2010,1,6,Wednesday,6
31,2010,1,6,Wednesday,7
97,2010,1,6,Wednesday,8
101,2010,1,6,Wednesday,9
128,2010,1,6,Wednesday,10
95,2010,1,6,Wednesday,11
104,2010,1,6,Wednesday,13
112,2010,1,6,Wednesday,14
109,2010,1,6,Wednesday,15
88,2010,1,6,Wednesday,16
81,2010,1,6,Wednesday,17
62,2010,1,6,Wednesday,18
78,2010,1,6,Wednesday,19
64,2010,1,6,Wednesday,20
51,2010,1,6,Wednesday,21
59,2010,1,6,Wednesday,22
38,2010,1,6,Wednesday,23
106,2010,1,7,Thursday,0
1,2010,1,7,Thursday,1
1,2010,1,7,Thursday,4
3,2010,1,7,Thursday,5
3,2010,1,7,Thursday,6
29,2010,1,7,Thursday,7
103,2010,1,7,Thursday,8
123,2010,1,7,Thursday,9
119,2010,1,7,Thursday,10
108,2010,1,7,Thursday,11
75,2010,1,7,Thursday,13
153,2010,1,7,Thursday,14
141,2010,1,7,Thursday,15
211,2010,1,7,Thursday,16
137,2010,1,7,Thursday,17
128,2010,1,7,Thursday,18
55,2010,1,7,Thursday,19
39,2010,1,7,Thursday,20
40,2010,1,7,Thursday,21
36,2010,1,7,Thursday,22
44,2010,1,7,Thursday,23
63,2010,1,8,Friday,0
1,2010,1,8,Friday,2
1,2010,1,8,Friday,5
1,2010,1,8,Friday,6
23,2010,1,8,Friday,7
77,2010,1,8,Friday,8
56,2010,1,8,Friday,9
72,2010,1,8,Friday,10
67,2010,1,8,Friday,11
46,2010,1,8,Friday,13
23,2010,1,8,Friday,14
2,2010,1,8,Friday,15
1,2010,1,8,Friday,16
3,2010,1,8,Friday,19
2,2010,1,8,Friday,20
1,2010,1,8,Friday,21
1,2010,1,9,Saturday,10
1,2010,1,9,Saturday,15
1,2010,1,9,Saturday,17
20,2010,1,9,Saturday,18
58,2010,1,9,Saturday,19
41,2010,1,9,Saturday,20
36,2010,1,9,Saturday,21
28,2010,1,9,Saturday,22
15,2010,1,9,Saturday,23
119,2010,1,10,Sunday,0
3,2010,1,10,Sunday,1
1,2010,1,10,Sunday,2
1,2010,1,10,Sunday,3
2,2010,1,10,Sunday,6
36,2010,1,10,Sunday,7
94,2010,1,10,Sunday,8
113,2010,1,10,Sunday,9
157,2010,1,10,Sunday,10
133,2010,1,10,Sunday,11
172,2010,1,10,Sunday,13
156,2010,1,10,Sunday,14
163,2010,1,10,Sunday,15
310,2010,1,10,Sunday,16
181,2010,1,10,Sunday,17
116,2010,1,10,Sunday,18
73,2010,1,10,Sunday,19
62,2010,1,10,Sunday,20
50,2010,1,10,Sunday,21
22,2010,1,10,Sunday,22
23,2010,1,10,Sunday,23
126,2010,1,13,Wednesday,0
8,2010,1,13,Wednesday,3
10,2010,1,13,Wednesday,4
15,2010,1,13,Wednesday,5
23,2010,1,13,Wednesday,6
57,2010,1,13,Wednesday,7
170,2010,1,13,Wednesday,8
130,2010,1,13,Wednesday,9
68,2010,1,13,Wednesday,11
121,2010,1,13,Wednesday,13
175,2010,1,13,Wednesday,14
165,2010,1,13,Wednesday,15
127,2010,1,13,Wednesday,16
99,2010,1,13,Wednesday,17
118,2010,1,13,Wednesday,18
105,2010,1,13,Wednesday,19
66,2010,1,13,Wednesday,20
59,2010,1,13,Wednesday,21
66,2010,1,13,Wednesday,22
49,2010,1,13,Wednesday,23
114,2010,1,14,Thursday,0
5,2010,1,14,Thursday,5
2,2010,1,14,Thursday,6
29,2010,1,14,Thursday,7
122,2010,1,14,Thursday,8
104,2010,1,14,Thursday,9
150,2010,1,14,Thursday,10
118,2010,1,14,Thursday,11
96,2010,1,14,Thursday,13
108,2010,1,14,Thursday,14
125,2010,1,14,Thursday,15
193,2010,1,14,Thursday,16
152,2010,1,14,Thursday,17
94,2010,1,14,Thursday,18
79,2010,1,14,Thursday,19
49,2010,1,14,Thursday,20
18,2010,1,14,Thursday,21
45,2010,1,14,Thursday,22
54,2010,1,14,Thursday,23
61,2010,1,15,Friday,0
2,2010,1,15,Friday,6
24,2010,1,15,Friday,7
73,2010,1,15,Friday,8
109,2010,1,15,Friday,9
75,2010,1,15,Friday,10
85,2010,1,15,Friday,11
42,2010,1,15,Friday,13
23,2010,1,15,Friday,14
2,2010,1,15,Friday,15
3,2010,1,15,Friday,16
1,2010,1,15,Friday,17
1,2010,1,16,Saturday,0
1,2010,1,16,Saturday,14
1,2010,1,16,Saturday,15
3,2010,1,16,Saturday,17
4,2010,1,16,Saturday,18
72,2010,1,16,Saturday,19
46,2010,1,16,Saturday,20
30,2010,1,16,Saturday,21
27,2010,1,16,Saturday,22
22,2010,1,16,Saturday,23
104,2010,1,17,Sunday,0
4,2010,1,17,Sunday,1
1,2010,1,17,Sunday,5
4,2010,1,17,Sunday,6
40,2010,1,17,Sunday,7
83,2010,1,17,Sunday,8
116,2010,1,17,Sunday,9
127,2010,1,17,Sunday,10
115,2010,1,17,Sunday,11
116,2010,1,17,Sunday,13
112,2010,1,17,Sunday,14
139,2010,1,17,Sunday,15
180,2010,1,17,Sunday,16
146,2010,1,17,Sunday,17
80,2010,1,17,Sunday,18
70,2010,1,17,Sunday,19
48,2010,1,17,Sunday,20
45,2010,1,17,Sunday,21
35,2010,1,17,Sunday,22
37,2010,1,17,Sunday,23
125,2010,1,18,Monday,0
11,2010,1,18,Monday,1
1,2010,1,18,Monday,2
1,2010,1,18,Monday,3
2,2010,1,18,Monday,5
11,2010,1,18,Monday,6
42,2010,1,18,Monday,7
84,2010,1,18,Monday,8
108,2010,1,18,Monday,9
144,2010,1,18,Monday,10
108,2010,1,18,Monday,11
88,2010,1,18,Monday,13
91,2010,1,18,Monday,14
231,2010,1,18,Monday,15
104,2010,1,18,Monday,16
73,2010,1,18,Monday,17
72,2010,1,18,Monday,18
78,2010,1,18,Monday,19
49,2010,1,18,Monday,20
54,2010,1,18,Monday,21
47,2010,1,18,Monday,22
43,2010,1,18,Monday,23
108,2010,1,19,Tuesday,0
1,2010,1,19,Tuesday,1
7,2010,1,19,Tuesday,6
37,2010,1,19,Tuesday,7
81,2010,1,19,Tuesday,8
109,2010,1,19,Tuesday,9
141,2010,1,19,Tuesday,10
114,2010,1,19,Tuesday,11
105,2010,1,19,Tuesday,13
106,2010,1,19,Tuesday,14
99,2010,1,19,Tuesday,15
124,2010,1,19,Tuesday,16
87,2010,1,19,Tuesday,17
72,2010,1,19,Tuesday,18
61,2010,1,19,Tuesday,19
51,2010,1,19,Tuesday,20
52,2010,1,19,Tuesday,21
66,2010,1,19,Tuesday,22
35,2010,1,19,Tuesday,23
91,2010,1,20,Wednesday,0
2,2010,1,20,Wednesday,1
20,2010,1,20,Wednesday,7
90,2010,1,20,Wednesday,8
115,2010,1,20,Wednesday,9
114,2010,1,20,Wednesday,10
92,2010,1,20,Wednesday,11
98,2010,1,20,Wednesday,13
112,2010,1,20,Wednesday,14
115,2010,1,20,Wednesday,15
94,2010,1,20,Wednesday,16
77,2010,1,20,Wednesday,17
58,2010,1,20,Wednesday,18
65,2010,1,20,Wednesday,19
41,2010,1,20,Wednesday,20
41,2010,1,20,Wednesday,21
37,2010,1,20,Wednesday,22
48,2010,1,20,Wednesday,23
122,2010,1,21,Thursday,0
1,2010,1,21,Thursday,4
1,2010,1,21,Thursday,5
4,2010,1,21,Thursday,6
39,2010,1,21,Thursday,7
79,2010,1,21,Thursday,8
111,2010,1,21,Thursday,9
151,2010,1,21,Thursday,10
117,2010,1,21,Thursday,11
115,2010,1,21,Thursday,13
98,2010,1,21,Thursday,14
96,2010,1,21,Thursday,15
117,2010,1,21,Thursday,16
107,2010,1,21,Thursday,17
66,2010,1,21,Thursday,18
42,2010,1,21,Thursday,19
49,2010,1,21,Thursday,20
38,2010,1,21,Thursday,21
30,2010,1,21,Thursday,22
43,2010,1,21,Thursday,23
56,2010,1,22,Friday,0
1,2010,1,22,Friday,1
1,2010,1,22,Friday,3
2,2010,1,22,Friday,6
21,2010,1,22,Friday,7
57,2010,1,22,Friday,8
64,2010,1,22,Friday,9
60,2010,1,22,Friday,10
64,2010,1,22,Friday,11
33,2010,1,22,Friday,13
18,2010,1,22,Friday,14
2,2010,1,22,Friday,15
1,2010,1,22,Friday,16
1,2010,1,22,Friday,21
1,2010,1,23,Saturday,0
1,2010,1,23,Saturday,2
2,2010,1,23,Saturday,18
57,2010,1,23,Saturday,19
41,2010,1,23,Saturday,20
40,2010,1,23,Saturday,21
31,2010,1,23,Saturday,22
21,2010,1,23,Saturday,23
74,2010,1,24,Sunday,0
2,2010,1,24,Sunday,1
2,2010,1,24,Sunday,2
1,2010,1,24,Sunday,5
2,2010,1,24,Sunday,6
29,2010,1,24,Sunday,7
60,2010,1,24,Sunday,8
91,2010,1,24,Sunday,9
117,2010,1,24,Sunday,10
86,2010,1,24,Sunday,11
99,2010,1,24,Sunday,13
94,2010,1,24,Sunday,14
91,2010,1,24,Sunday,15
110,2010,1,24,Sunday,16
93,2010,1,24,Sunday,17
57,2010,1,24,Sunday,18
41,2010,1,24,Sunday,19
15,2010,1,24,Sunday,20
39,2010,1,24,Sunday,21
41,2010,1,24,Sunday,22
30,2010,1,24,Sunday,23
82,2010,1,25,Monday,0
2,2010,1,25,Monday,1
1,2010,1,25,Monday,5
4,2010,1,25,Monday,6
33,2010,1,25,Monday,7
68,2010,1,25,Monday,8
98,2010,1,25,Monday,9
96,2010,1,25,Monday,10
79,2010,1,25,Monday,11
62,2010,1,25,Monday,13
87,2010,1,25,Monday,14
107,2010,1,25,Monday,15
45,2010,1,25,Monday,16
50,2010,1,25,Monday,17
56,2010,1,25,Monday,18
45,2010,1,25,Monday,19
67,2010,1,25,Monday,20
36,2010,1,25,Monday,21
42,2010,1,25,Monday,22
39,2010,1,25,Monday,23
78,2010,1,26,Tuesday,0
4,2010,1,26,Tuesday,6
21,2010,1,26,Tuesday,7
69,2010,1,26,Tuesday,8
81,2010,1,26,Tuesday,9
93,2010,1,26,Tuesday,10
87,2010,1,26,Tuesday,11
72,2010,1,26,Tuesday,13
94,2010,1,26,Tuesday,14
100,2010,1,26,Tuesday,15
126,2010,1,26,Tuesday,16
84,2010,1,26,Tuesday,17
58,2010,1,26,Tuesday,18
61,2010,1,26,Tuesday,19
32,2010,1,26,Tuesday,20
43,2010,1,26,Tuesday,21
45,2010,1,26,Tuesday,22
37,2010,1,26,Tuesday,23
68,2010,1,27,Wednesday,0
24,2010,1,27,Wednesday,7
66,2010,1,27,Wednesday,8
86,2010,1,27,Wednesday,9
86,2010,1,27,Wednesday,10
81,2010,1,27,Wednesday,11
58,2010,1,27,Wednesday,13
81,2010,1,27,Wednesday,14
87,2010,1,27,Wednesday,15
51,2010,1,27,Wednesday,16
64,2010,1,27,Wednesday,17
49,2010,1,27,Wednesday,18
60,2010,1,27,Wednesday,19
42,2010,1,27,Wednesday,20
34,2010,1,27,Wednesday,21
36,2010,1,27,Wednesday,22
36,2010,1,27,Wednesday,23
83,2010,1,28,Thursday,0
3,2010,1,28,Thursday,1
1,2010,1,28,Thursday,2
2,2010,1,28,Thursday,5
4,2010,1,28,Thursday,6
27,2010,1,28,Thursday,7
78,2010,1,28,Thursday,8
88,2010,1,28,Thursday,9
101,2010,1,28,Thursday,10
79,2010,1,28,Thursday,11
78,2010,1,28,Thursday,13
95,2010,1,28,Thursday,14
102,2010,1,28,Thursday,15
148,2010,1,28,Thursday,16
68,2010,1,28,Thursday,17
48,2010,1,28,Thursday,18
39,2010,1,28,Thursday,19
37,2010,1,28,Thursday,20
33,2010,1,28,Thursday,21
40,2010,1,28,Thursday,22
37,2010,1,28,Thursday,23
57,2010,1,29,Friday,0
5,2010,1,29,Friday,1
1,2010,1,29,Friday,2
2,2010,1,29,Friday,6
22,2010,1,29,Friday,7
47,2010,1,29,Friday,8
64,2010,1,29,Friday,9
51,2010,1,29,Friday,10
54,2010,1,29,Friday,11
41,2010,1,29,Friday,13
25,2010,1,29,Friday,14
2,2010,1,29,Friday,15
1,2010,1,29,Friday,16
1,2010,1,29,Friday,17
1,2010,1,29,Friday,22
1,2010,1,29,Friday,23
1,2010,1,30,Saturday,9
2,2010,1,30,Saturday,10
1,2010,1,30,Saturday,11
2,2010,1,30,Saturday,13
1,2010,1,30,Saturday,15
2,2010,1,30,Saturday,18
41,2010,1,30,Saturday,19
33,2010,1,30,Saturday,20
28,2010,1,30,Saturday,21
30,2010,1,30,Saturday,22
18,2010,1,30,Saturday,23
87,2010,1,31,Sunday,0
1,2010,1,31,Sunday,1
1,2010,1,31,Sunday,2
1,2010,1,31,Sunday,3
1,2010,1,31,Sunday,5
5,2010,1,31,Sunday,6
29,2010,1,31,Sunday,7
79,2010,1,31,Sunday,8
81,2010,1,31,Sunday,9
104,2010,1,31,Sunday,10
81,2010,1,31,Sunday,11
89,2010,1,31,Sunday,13
93,2010,1,31,Sunday,14
92,2010,1,31,Sunday,15
156,2010,1,31,Sunday,16
76,2010,1,31,Sunday,17
61,2010,1,31,Sunday,18
65,2010,1,31,Sunday,19
44,2010,1,31,Sunday,20
34,2010,1,31,Sunday,21
32,2010,1,31,Sunday,22
24,2010,1,31,Sunday,23
97,2010,2,1,Monday,0
3,2010,2,1,Monday,1
1,2010,2,1,Monday,2
1,2010,2,1,Monday,5
9,2010,2,1,Monday,6
50,2010,2,1,Monday,7
136,2010,2,1,Monday,8
119,2010,2,1,Monday,9
111,2010,2,1,Monday,10
131,2010,2,1,Monday,11
106,2010,2,1,Monday,13
110,2010,2,1,Monday,14
97,2010,2,1,Monday,15
90,2010,2,1,Monday,16
71,2010,2,1,Monday,17
120,2010,2,1,Monday,18
70,2010,2,1,Monday,19
88,2010,2,1,Monday,20
62,2010,2,1,Monday,21
49,2010,2,1,Monday,22
46,2010,2,1,Monday,23
116,2010,2,2,Tuesday,0
2,2010,2,2,Tuesday,1
1,2010,2,2,Tuesday,2
4,2010,2,2,Tuesday,5
9,2010,2,2,Tuesday,6
58,2010,2,2,Tuesday,7
124,2010,2,2,Tuesday,8
133,2010,2,2,Tuesday,9
159,2010,2,2,Tuesday,10
131,2010,2,2,Tuesday,11
133,2010,2,2,Tuesday,13
133,2010,2,2,Tuesday,14
150,2010,2,2,Tuesday,15
157,2010,2,2,Tuesday,16
115,2010,2,2,Tuesday,17
82,2010,2,2,Tuesday,18
90,2010,2,2,Tuesday,19
67,2010,2,2,Tuesday,20
75,2010,2,2,Tuesday,21
51,2010,2,2,Tuesday,22
56,2010,2,2,Tuesday,23
109,2010,2,3,Wednesday,0
2,2010,2,3,Wednesday,1
2,2010,2,3,Wednesday,2
1,2010,2,3,Wednesday,4
1,2010,2,3,Wednesday,5
5,2010,2,3,Wednesday,6
41,2010,2,3,Wednesday,7
120,2010,2,3,Wednesday,8
108,2010,2,3,Wednesday,9
126,2010,2,3,Wednesday,10
126,2010,2,3,Wednesday,11
494,2010,2,3,Wednesday,13
145,2010,2,3,Wednesday,14
118,2010,2,3,Wednesday,15
65,2010,2,3,Wednesday,16
68,2010,2,3,Wednesday,17
83,2010,2,3,Wednesday,18
105,2010,2,3,Wednesday,19
66,2010,2,3,Wednesday,20
68,2010,2,3,Wednesday,21
50,2010,2,3,Wednesday,22
