nb_calls,reason,year,month,day,weekday,hour
61,PS,2010,1,1,Friday,0
2,TT,2010,1,1,Friday,0
5,PS,2010,1,1,Friday,0
3,PS,2010,1,1,Friday,1
1,PS,2010,1,1,Friday,2
2,NW,2010,1,1,Friday,3
1,PS,2010,1,1,Friday,5
3,PS,2010,1,1,Friday,6
2,PS,2010,1,1,Friday,6
35,PS,2010,1,1,Friday,7
3,PS,2010,1,1,Friday,7
2,PS,2010,1,1,Friday,7
63,PS,2010,1,1,Friday,8
10,PS,2010,1,1,Friday,8
23,PS,2010,1,1,Friday,8
64,PS,2010,1,1,Friday,9
16,PS,2010,1,1,Friday,9
23,PS,2010,1,1,Friday,9
65,PS,2010,1,1,Friday,10
7,TT,2010,1,1,Friday,10
14,PS,2010,1,1,Friday,10
63,PS,2010,1,1,Friday,11
12,PS,2010,1,1,Friday,11
12,PS,2010,1,1,Friday,11
36,PS,2010,1,1,Friday,13
13,PS,2010,1,1,Friday,13
21,PS,2010,1,1,Friday,13
29,PS,2010,1,1,Friday,14
3,NW,2010,1,1,Friday,15
4,NW,2010,1,1,Friday,16
1,NW,2010,1,1,Friday,17
1,NW,2010,1,1,Friday,19
5,NW,2010,1,2,Saturday,0
1,NW,2010,1,2,Saturday,5
2,NW,2010,1,2,Saturday,10
1,NW,2010,1,2,Saturday,11
2,NW,2010,1,2,Saturday,14
1,NW,2010,1,2,Saturday,17
7,PS,2010,1,2,Saturday,18
3,PS,2010,1,2,Saturday,18
44,PS,2010,1,2,Saturday,19
12,PS,2010,1,2,Saturday,19
16,PS,2010,1,2,Saturday,19
31,PS,2010,1,2,Saturday,20
6,PE,2010,1,2,Saturday,20
4,PS,2010,1,2,Saturday,20
33,PS,2010,1,2,Saturday,21
5,PS,2010,1,2,Saturday,21
7,PS,2010,1,2,Saturday,21
27,PS,2010,1,2,Saturday,22
2,PS,2010,1,2,Saturday,22
1,PS,2010,1,2,Saturday,22
21,PS,2010,1,2,Saturday,23
11,PS,2010,1,2,Saturday,23
11,PS,2010,1,2,Saturday,23
98,PS,2010,1,3,Sunday,0
13,PS,2010,1,3,Sunday,0
32,PS,2010,1,3,Sunday,0
3,PS,2010,1,3,Sunday,1
1,PS,2010,1,3,Sunday,4
3,PS,2010,1,3,Sunday,5
6,PS,2010,1,3,Sunday,6
20,PE,2010,1,3,Sunday,7
20,PS,2010,1,3,Sunday,7
31,PS,2010,1,3,Sunday,7
105,PS,2010,1,3,Sunday,8
15,PS,2010,1,3,Sunday,8
20,PS,2010,1,3,Sunday,8
116,PS,2010,1,3,Sunday,9
3,TT,2010,1,3,Sunday,9
11,PS,2010,1,3,Sunday,9
76,PS,2010,1,3,Sunday,10
29,PS,2010,1,3,Sunday,10
66,PS,2010,1,3,Sunday,10
70,NE,2010,1,3,Sunday,11
30,PS,2010,1,3,Sunday,11
36,PS,2010,1,3,Sunday,11
84,PS,2010,1,3,Sunday,13
23,PS,2010,1,3,Sunday,13
32,PS,2010,1,3,Sunday,13
78,PS,2010,1,3,Sunday,14
34,PS,2010,1,3,Sunday,14
38,PS,2010,1,3,Sunday,14
76,NW,2010,1,3,Sunday,15
17,PS,2010,1,3,Sunday,15
72,PS,2010,1,3,Sunday,15
186,PS,2010,1,3,Sunday,16
24,PS,2010,1,3,Sunday,16
47,PS,2010,1,3,Sunday,16
126,NW,2010,1,3,Sunday,17
30,PS,2010,1,3,Sunday,17
31,PS,2010,1,3,Sunday,17
64,PS,2010,1,3,Sunday,18
7,PS,2010,1,3,Sunday,18
18,PS,2010,1,3,Sunday,18
62,PS,2010,1,3,Sunday,19
7,PS,2010,1,3,Sunday,19
9,NE,2010,1,3,Sunday,19
62,PS,2010,1,3,Sunday,20
5,PS,2010,1,3,Sunday,20
8,PS,2010,1,3,Sunday,20
52,PS,2010,1,3,Sunday,21
4,PS,2010,1,3,Sunday,21
9,PS,2010,1,3,Sunday,21
44,PS,2010,1,3,Sunday,22
2,PS,2010,1,3,Sunday,22
2,PS,2010,1,3,Sunday,22
31,PS,2010,1,3,Sunday,23
12,PS,2010,1,3,Sunday,23
11,PS,2010,1,3,Sunday,23
86,PS,2010,1,4,Monday,0
13,PS,2010,1,4,Monday,0
26,PS,2010,1,4,Monday,0
1,PS,2010,1,4,Monday,2
2,PS,2010,1,4,Monday,5
6,PS,2010,1,4,Monday,6
1,TT,2010,1,4,Monday,6
40,PS,2010,1,4,Monday,7
7,PS,2010,1,4,Monday,7
7,PS,2010,1,4,Monday,7
116,NW,2010,1,4,Monday,8
9,PS,2010,1,4,Monday,8
10,PS,2010,1,4,Monday,8
83,PS,2010,1,4,Monday,9
14,NE,2010,1,4,Monday,9
17,NE,2010,1,4,Monday,9
66,PS,2010,1,4,Monday,10
24,PS,2010,1,4,Monday,10
74,PS,2010,1,4,Monday,10
108,NW,2010,1,4,Monday,11
11,PS,2010,1,4,Monday,11
29,PS,2010,1,4,Monday,11
31,NW,2010,1,4,Monday,13
19,PS,2010,1,4,Monday,13
20,PS,2010,1,4,Monday,13
57,NE,2010,1,4,Monday,14
56,PS,2010,1,4,Monday,14
86,PS,2010,1,4,Monday,14
26,NW,2010,1,4,Monday,15
41,NE,2010,1,4,Monday,15
77,PS,2010,1,4,Monday,15
20,PS,2010,1,4,Monday,16
20,PS,2010,1,4,Monday,16
68,PS,2010,1,4,Monday,16
41,NW,2010,1,4,Monday,17
35,PS,2010,1,4,Monday,17
50,PS,2010,1,4,Monday,17
42,PS,2010,1,4,Monday,18
29,PS,2010,1,4,Monday,18
24,PS,2010,1,4,Monday,18
31,NW,2010,1,4,Monday,19
18,PS,2010,1,4,Monday,19
33,PS,2010,1,4,Monday,19
47,PS,2010,1,4,Monday,20
10,PS,2010,1,4,Monday,20
16,PS,2010,1,4,Monday,20
41,PS,2010,1,4,Monday,21
15,PS,2010,1,4,Monday,21
18,NE,2010,1,4,Monday,21
26,PS,2010,1,4,Monday,22
14,PE,2010,1,4,Monday,22
20,PS,2010,1,4,Monday,22
