nb_calls,reason,year,month,day,weekday,hour
16,NW,2010,1,1,Friday,0
51,PS,2010,1,1,Friday,0
1,TT,2010,1,1,Friday,0
2,NW,2010,1,1,Friday,1
1,PS,2010,1,1,Friday,1
1,PS,2010,1,1,Friday,2
1,NW,2010,1,1,Friday,3
1,PS,2010,1,1,Friday,3
1,PS,2010,1,1,Friday,5
1,AA,2010,1,1,Friday,6
4,PS,2010,1,1,Friday,6
1,NE,2010,1,1,Friday,7
2,NW,2010,1,1,Friday,7
1,PE,2010,1,1,Friday,7
34,PS,2010,1,1,Friday,7
2,TT,2010,1,1,Friday,7
1,IN,2010,1,1,Friday,8
20,NW,2010,1,1,Friday,8
74,PS,2010,1,1,Friday,8
1,TT,2010,1,1,Friday,8
3,IN,2010,1,1,Friday,9
1,NE,2010,1,1,Friday,9
11,NW,2010,1,1,Friday,9
86,PS,2010,1,1,Friday,9
2,TT,2010,1,1,Friday,9
4,IN,2010,1,1,Friday,10
10,NW,2010,1,1,Friday,10
1,PE,2010,1,1,Friday,10
66,PS,2010,1,1,Friday,10
5,TT,2010,1,1,Friday,10
2,IN,2010,1,1,Friday,11
5,NW,2010,1,1,Friday,11
2,PE,2010,1,1,Friday,11
77,PS,2010,1,1,Friday,11
1,TT,2010,1,1,Friday,11
1,NE,2010,1,1,Friday,13
9,NW,2010,1,1,Friday,13
56,PS,2010,1,1,Friday,13
4,TT,2010,1,1,Friday,13
3,NW,2010,1,1,Friday,14
1,PE,2010,1,1,Friday,14
25,PS,2010,1,1,Friday,14
3,NW,2010,1,1,Friday,15
4,NW,2010,1,1,Friday,16
1,NW,2010,1,1,Friday,17
1,NW,2010,1,1,Friday,19
5,NW,2010,1,2,Saturday,0
1,NW,2010,1,2,Saturday,5
1,IN,2010,1,2,Saturday,10
1,NW,2010,1,2,Saturday,10
1,NW,2010,1,2,Saturday,11
2,NW,2010,1,2,Saturday,14
1,NW,2010,1,2,Saturday,17
10,PS,2010,1,2,Saturday,18
5,NW,2010,1,2,Saturday,19
1,PE,2010,1,2,Saturday,19
54,PS,2010,1,2,Saturday,19
12,TT,2010,1,2,Saturday,19
3,NW,2010,1,2,Saturday,20
1,PE,2010,1,2,Saturday,20
37,PS,2010,1,2,Saturday,20
